iter	Logloss
0	0.6745930721
1	0.6630323099
2	0.6553900069
3	0.6517627605
4	0.6473107497
5	0.6453826757
6	0.6436566014
7	0.6412851306
8	0.6400095822
9	0.6390721795
10	0.6381367892
11	0.6366846821
12	0.6360989997
13	0.6350866292
14	0.6344491927
15	0.6335781105
16	0.6331864697
17	0.6326765285
18	0.6321637089
19	0.6317788072
20	0.6314716139
21	0.6310608402
22	0.6306775072
23	0.629979008
24	0.6297389172
25	0.6294681305
26	0.6292198969
27	0.6289768037
28	0.6285275257
29	0.6282697819
30	0.6279792585
31	0.6276256611
32	0.6273549681
33	0.6271645409
34	0.6270113745
35	0.6267415297
36	0.6264959635
37	0.6262480993
38	0.6260814369
39	0.6257754841
40	0.6255865177
41	0.6254366579
42	0.6252812794
43	0.6249749299
44	0.624835802
45	0.6246666559
46	0.6244197305
47	0.6242649375
48	0.6240365147
49	0.6238307248
50	0.6235805136
51	0.6234554565
52	0.623341748
53	0.6231717893
54	0.6229655969
55	0.622887799
56	0.6227981872
57	0.6226838901
58	0.6225261413
59	0.6223892031
60	0.6222846368
61	0.6221469634
62	0.622042558
63	0.6219516698
64	0.621828166
65	0.6217351921
66	0.6215919449
67	0.6214776429
68	0.6213234327
69	0.6212376833
70	0.6210521616
71	0.6209224361
72	0.6208084064
73	0.6206671007
74	0.6204938273
75	0.6203933225
76	0.6202589335
77	0.6201758167
78	0.6200585921
79	0.6199717736
80	0.6198479851
81	0.6197960571
82	0.6197207317
83	0.6196555134
84	0.6195402393
85	0.6194128398
86	0.6192900048
87	0.6191857661
88	0.6191284174
89	0.6190578094
90	0.6189778251
91	0.6188605063
92	0.6187760647
93	0.618710841
94	0.6185807609
95	0.6184974101
96	0.6184042604
97	0.6183037507
98	0.6182506731
99	0.6181864543
100	0.6180581326
101	0.6179931172
102	0.6179218696
103	0.6178749122
104	0.6178129783
105	0.6177139603
106	0.617665341
107	0.6176051005
108	0.6175162663
109	0.6174713696
110	0.6174017769
111	0.6173129552
112	0.6171834576
113	0.6171248405
114	0.6170519736
115	0.6169580582
116	0.6168984077
117	0.6168427901
118	0.6168044509
119	0.6167727447
120	0.6166809622
121	0.6165838404
122	0.6165462302
123	0.6164706302
124	0.6164272257
125	0.6163476471
126	0.6162857719
127	0.6162154345
128	0.6161744847
129	0.616095227
130	0.616029707
131	0.6159899685
132	0.6159424446
133	0.6158729304
134	0.6158015724
135	0.6157162104
136	0.6156461996
137	0.6156027094
138	0.6155561811
139	0.6155011891
140	0.6154552702
141	0.6154126384
142	0.6153649371
143	0.615281523
144	0.6152165004
145	0.6151718237
146	0.6150896057
147	0.6150580161
148	0.6149696396
149	0.6149357133
150	0.6148625814
151	0.6147957683
152	0.6147386302
153	0.6147077919
154	0.6146507774
155	0.6146184573
156	0.6145874696
157	0.6145199797
158	0.6144430846
159	0.6144032986
160	0.6143682197
161	0.6143206844
162	0.6142697771
163	0.6142152566
164	0.6141693412
165	0.6140946103
166	0.614039895
167	0.6140106791
168	0.6139602994
169	0.6139154414
170	0.6138745717
171	0.6138302882
172	0.6137733067
173	0.6137433816
174	0.6136755866
175	0.6136329601
176	0.6136015745
177	0.6135730526
178	0.6135326064
179	0.6135016571
180	0.6134740017
181	0.6133987282
182	0.6133552773
183	0.6133167077
184	0.6132708357
185	0.613231385
186	0.6131978961
187	0.6131447041
188	0.613082042
189	0.6130301128
190	0.6129880482
191	0.6129551502
192	0.6129187933
193	0.6128702515
194	0.6128405092
195	0.6128115195
196	0.6127863299
197	0.612764621
198	0.61272432
199	0.6126938467
200	0.6126552224
201	0.6126140088
202	0.6125898014
203	0.6125645137
204	0.6125387215
205	0.6125145383
206	0.6124783463
207	0.612455695
208	0.6124178583
209	0.6123727757
210	0.6123494215
211	0.6123153921
212	0.6122859044
213	0.6122436174
214	0.6122085594
215	0.612185782
216	0.6121512413
217	0.6121211297
218	0.6120883466
219	0.6120645233
220	0.6120420665
221	0.6120192596
222	0.6120010579
223	0.6119667408
224	0.6119400941
225	0.6119096186
226	0.611880231
227	0.611860108
228	0.6118314086
229	0.6118157601
230	0.6117967569
231	0.6117587012
232	0.6117315959
233	0.6116983242
234	0.611676677
235	0.6116480952
236	0.6116196899
237	0.6115929643
238	0.6115760211
239	0.6115312389
240	0.6115116598
241	0.6114776594
242	0.6114488666
243	0.6114209228
244	0.6114003807
245	0.6113662991
246	0.6113417768
247	0.6113032701
248	0.6112670119
249	0.6112282181
250	0.6112088979
251	0.6111606041
252	0.6111420231
253	0.6111077018
254	0.611078631
255	0.6110463197
256	0.610993078
257	0.6109218448
258	0.6108904482
259	0.6108632306
260	0.610847325
261	0.6108300702
262	0.6108097022
263	0.6107859602
264	0.6107599137
265	0.6107300191
266	0.6107012093
267	0.6106776046
268	0.6106437261
269	0.610618812
270	0.6105224327
271	0.6104967045
272	0.6104706862
273	0.6104377699
274	0.6104059926
275	0.6103867869
276	0.6103625535
277	0.6103296823
278	0.6103011315
279	0.6102724408
280	0.6102443985
281	0.6102274843
282	0.6102015235
283	0.6101693719
284	0.610127482
285	0.6101133746
286	0.6100920396
287	0.6100655352
