,Unnamed: 0,property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses,state_code,place_code,property_type_code
233,1278,apartment,Recoleta,Capital Federal,"-34.5874491,-58.3854075",420000.0,420000.0,148.0,134.0,3134.328358208956,,0,15,1
234,1309,apartment,Barrio Norte,Capital Federal,"-34.590033,-58.4161744",249000.0,249000.0,89.0,82.0,3036.5853658536585,,0,22,1
235,1340,apartment,Retiro,Capital Federal,"-34.591427,-58.380063",250000.0,250000.0,85.0,68.0,3676.470588235294,,0,39,1
236,1341,apartment,Recoleta,Capital Federal,"-34.5969883,-58.388055",1380000.0,1380000.0,260.0,260.0,5307.692307692308,,0,15,1
237,1366,apartment,Barrio Norte,Capital Federal,"-34.5917177,-58.400682",194000.0,194000.0,60.0,60.0,3233.333333333333,,0,22,1
238,1369,apartment,Barrio Norte,Capital Federal,"-34.5924103,-58.3952593",135000.0,135000.0,43.0,39.0,3461.5384615384614,,0,22,1
239,1371,apartment,Recoleta,Capital Federal,"-34.5882453,-58.3883029",940000.0,940000.0,227.0,227.0,4140.969162995595,,0,15,1
240,1374,apartment,Caballito,Capital Federal,"-34.6066587976,-58.4488776741",95000.0,95000.0,40.0,29.0,3275.8620689655168,,0,9,1
241,1375,apartment,Villa del Parque,Capital Federal,"-34.6160627,-58.5014443",99000.0,99000.0,49.0,45.0,2200.0,,0,37,1
242,1380,apartment,Parque Chas,Capital Federal,"-34.58423,-58.4787009",138700.0,138700.0,70.0,52.0,2667.3076923076924,,0,40,1
243,1381,apartment,Parque Chas,Capital Federal,"-34.58423,-58.4787009",133620.0,133620.0,64.0,47.0,2842.9787234042547,,0,40,1
244,1384,apartment,Balvanera,Capital Federal,"-34.6011557,-58.4006557",100000.0,100000.0,66.0,62.0,1612.9032258064515,,0,8,1
245,1385,apartment,Caballito,Capital Federal,"-34.6184909411,-58.4378484306",245000.0,245000.0,103.0,95.0,2578.9473684210525,,0,9,1
