state_name,place_name,m2_Desde,m2_Hasta,Valor_usd
Capital Federal,Villa Pueyrredón,0,99,2080
Capital Federal,Villa Pueyrredón,100,200,1740
Capital Federal,Villa Pueyrredón,201,9999999,1580
Capital Federal,Villa Real,0,99,1870
Capital Federal,Villa Real,100,200,1560
Capital Federal,Villa Real,201,9999999,1420
Capital Federal,Villa Riachuelo,0,99,1490
Capital Federal,Villa Riachuelo,100,200,1370
Capital Federal,Villa Riachuelo,201,9999999,1320
Capital Federal,Villa Santa Rita,0,99,1860
Capital Federal,Villa Santa Rita,100,200,1680
Capital Federal,Villa Santa Rita,201,9999999,1580
Capital Federal,Villa Soldati,0,99,1180
Capital Federal,Villa Soldati,100,200,1030
Capital Federal,Villa Soldati,201,9999999,960
Capital Federal,Villa Urquiza,0,99,2210
Capital Federal,Villa Urquiza,100,200,2000
Capital Federal,Villa Urquiza,201,9999999,1790
Neuquén,-,0,9999999,1820
GBA,-,0,9999999,1700
Mar del Plata,-,0,9999999,1610
Rosario,-,0,9999999,1510
Córdoba,-,0,9999999,1435
Santa Fe,-,0,9999999,1260
Mendoza,-,0,9999999,1144
