property_type,place_name,state_name,lat-lon,price,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,expenses
apartment,Villa Urquiza,Capital Federal,"-34.57304,-58.479785",510000.0,510000.0,165.0,155.0,3290.322580645161,
apartment,Villa Urquiza,Capital Federal,"-34.57304,-58.479785",221000.0,221000.0,74.0,67.0,3298.5074626865667,
PH,Villa Pueyrred�n,Capital Federal,"-34.5916666575,-58.5017040921",291000.0,291000.0,201.0,80.0,3637.5,
apartment,Tribunales,Capital Federal,"-34.6025958493,-58.3829781825",73000.0,73000.0,35.0,35.0,2085.714285714286,
apartment,Once,Capital Federal,"-34.6115304797,-58.4107670995",93000.0,93000.0,76.0,73.0,1273.972602739726,
apartment,Almagro,Capital Federal,"-34.5978676,-58.4260397",175404.0,175404.0,75.0,65.0,2698.523076923077,
house,Capital Federal,Capital Federal,,650000.0,650000.0,1287.0,427.0,1522.248243559719,
apartment,Caballito,Capital Federal,"-34.6045148,-58.4611725",112000.0,112000.0,50.0,48.0,2333.333333333333,900.0
apartment,San Cristobal,Capital Federal,"-34.621383358,-58.3889494767",109800.0,109800.0,64.0,56.0,1960.7142857142856,1800.0
apartment,Almagro,Capital Federal,"-34.6105616,-58.4303573",187000.0,187000.0,89.0,78.0,2397.435897435897,
PH,Mataderos,Capital Federal,"-34.6494154483,-58.5082290736",158000.0,158000.0,90.0,70.0,2257.142857142857,
apartment,Mataderos,Capital Federal,"-34.6632395,-58.5056703",67000.0,67000.0,40.0,28.0,2392.857142857143,
apartment,Las Ca�itas,Capital Federal,"-34.5724043,-58.4337231",135900.0,135900.0,50.0,50.0,2718.0,
apartment,Parque Chacabuco,Capital Federal,"-34.6312184,-58.4419489",186900.0,186900.0,72.0,65.0,2875.384615384615,
apartment,Congreso,Capital Federal,"-34.6092415,-58.3926706",59900.0,59900.0,22.0,22.0,2722.7272727272725,
apartment,San Telmo,Capital Federal,"-34.6211839,-58.3731163",88000.0,88000.0,38.0,34.0,2588.2352941176473,
apartment,Barracas,Capital Federal,"-34.6355151968,-58.3711507174",176510.0,176510.0,87.0,46.0,3837.173913043479,
apartment,Flores,Capital Federal,"-34.63253,-58.453878",150000.0,150000.0,94.0,64.0,2343.75,
house,Villa del Parque,Capital Federal,"-34.6156362,-58.4925121",355000.0,355000.0,491.0,140.0,2535.714285714286,
