,Unnamed: 0,property_type,place_name,lat,lon,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,floor,expenses,description,title,geometry,index_right,dummy_property_type__apartment,dummy_property_type__house,dummy_property_type__store,distSubte,distEscuela,distHospital,distParque,dummy_acondicionado,dummy_amenities,dummy_alarma,dummy_ascensor,dummy_balcon,dummy_baulera,dummy_blindada,dummy_calefaccion,dummy_cancha,dummy_cine,dummy_cochera,dummy_contrafrente,dummy_crédito,dummy_electrógeno,dummy_estrenar,dummy_fitness,dummy_frente,dummy_frio-calor,dummy_guardacoche,dummy_gimnasio,dummy_jacuzzi,dummy_hidromasaje,dummy_hospital,dummy_jardin,dummy_lavarropas,dummy_lavadero,dummy_laundry,dummy_luminoso,dummy_living,dummy_metrobus,dummy_multisplit,dummy_parque,dummy_patio,dummy_parrilla,dummy_pentahome,dummy_pileta,dummy_premium,dummy_piscina,dummy_policlínico,dummy_profesional,dummy_quincho,dummy_refrigeración,dummy_residencial,dummy_reciclado,dummy_pozo,dummy_sauna,dummy_spa,dummy_split,dummy_solarium,dummy_sum,dummy_S.U.M,dummy_subte,dummy_suite,dummy_seguridad,dummy_terraza,dummy_vigilancia,precio_m2_usd,rooms
24,2273,apartment,Caballito,-34.61769104,-58.44923782,97000,35,2771.4285714285716,9.0,2387.64,*Con renta hasta agosto/17*. Excelente monoambiente en 5º piso al contrafrente con balcón y cochera fija descubierta. Muy luminoso. Sólo 3 años de antigüedad. Orientación noreste. Cocina americana equipada con lavadero incorporado. Baño completo. Equipo de aire acondicionado split frío-calor instalado. Edificio con amenities: piscina y solarium. Posesión inmediata.,U$D 97.000 - Departamento en Venta - Paysandu     463,POINT (-58.44923782 -34.61769104),0,1,0,0,650.0210073053647,125.70285568468073,925.5204544067321,0.4643447825970853,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2771.0,4.0
27,3918,apartment,Caballito,-34.61975479,-58.43701553,96000,40,2400.0,,2387.64,2 ambientes integramente reciclado con materiales de 1ra. calidad. En el corazón de Caballito. A 150 metros del cruce de las Avenidas Acoyte y Rivadavia. A metros de shoping Caballito y Village cinema. Baulera. Impecable. Expensas $ 750. Venta no condicionada.,U$D 96.000 - Departamento en Venta - ,POINT (-58.43701553 -34.61975479),0,1,0,0,172.27367721944972,80.55345193171615,198.6515441281809,0.24579108424696305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2400.0,4.0
28,3956,house,Caballito,-34.61399841,-58.43251419,96000,48,2000.0,,2387.64,Calido 2 ambientes muy luminosos al frente sin expensas  c/baulera-Baño completo c/hidromasaje-Dormitorio c/placard empotrado de pared a pared-Living comedor de generosas dimensiones con cocina integrada-Refaccionado a nuevo. Excelente ubicación: 2 cuadras subte A y 4 cuadras del parque Rivadavia y Centenario.,U$D 96.000 - Tipo casa PH en Venta - Bogota     100,POINT (-58.43251419 -34.61399841),0,0,1,0,307.21234456220935,92.96502773022307,561.9501901504752,0.2892022621761339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000.0,5.0
29,3957,house,Caballito,-34.61297226,-58.43281555,96000,48,2000.0,,2387.64,Calido 2 ambientes muy luminosos al frente sin expensas  c/baulera-Baño completo c/hidromasaje-Dormitorio c/placard empotrado de pared a pared-Living comedor de generosas dimensiones con cocina integrada-Refaccionado a nuevo. Excelente ubicación: 2 cuadras subte A y 4 cuadras del parque Rivadavia y Centenario.,U$D 96.000 - Tipo casa PH en Venta - Bogota     100,POINT (-58.43281555 -34.61297226),0,0,1,0,392.29708221827246,30.92052729638049,536.1214556725289,0.4056336958645354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2000.0,5.0
33,4750,apartment,Caballito,-34.620367,-58.438849,269000,115,2339.1304347826085,,2387.64,"Corredor Responsable: Hernan Perrone - C.U.C.I.C.B.A 2792Contacto: Javier Bonamassa - MLS ID # 151100-100Excelente piso de 4 ambientes en ochava a 1 cuadra de AV. Rivadavia y a dos de Primera Junta. El departamento consta con tres dormitorios, un living comedor amplio, cocina con comedor diario independiente y lavadero independiente. A su vez, cuenta con dos baños completos. Dos balcones y un ventanal en la ochava permite que el departamento sea muy luminoso.  Cuenta con dos AA acondicionados frío en dormitorio principal y sala de estar. Expensas $ 2.200.  Funcional, bien ubicado, luminoso, cómodo.  OPORTUNIDAD ",4 AMB en Caballito. APTO CREDITO,POINT (-58.438849 -34.620367),0,1,0,0,213.6413013370535,152.710424461772,363.3466025117369,0.2363892182604912,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339.0,12.0
34,5127,apartment,Caballito,-34.6105616,-58.4303573,187000,89,2101.123595505618,,2387.64,"VENTA DPTO 4 AMB AL LADO DE ""ORT"", PQUE. CENTENARIO LUZ BAJA EXP.CON RENTA!VENTA DPTO 4 AMB EXCELENTE UBICACIÓN:- Al lado del INSTITUTO de PRIMARIA, SECUNDARIA y TERCIARIA ""ORT"" - A 3 cuadras PQUE. CENTENARIO.- A 3 cuadras HOSPITAL ITALIANO.- A 3 cuadras HOSPITAL ONCOLOGIA MUNICIPAL.- SUBTE A 4 CUADRAS! Estación Río de Janeiro.- LUMINOSO (al frente) - BAJA EXPENSAS.- FRENTE - BALCÓN Y PATIO!- SILENCIOSO- LUMINOSO- Cochera al lado (Opcional)- MUY BAJAS EXPENSAS: SOLO $2270!- 89 m2.- BALCÓN ENREJADO POR SEGURIDAD.- ¡GARITA DE POLICÍA EN LA PUERTA!TIENE CONTRATO DE ALQUILER HASTA NOVIEMBRE 2017, POR $11.400 POR MES!SE PUEDE RENOVAR CON EL MISMO INQULINO.*** VEA el VÍDEO en nuestra Web, ABAJO DEL MAPA ! ***URGENTE: LLAME AL 15-- LEVIT INMOBILIARIA- 15- (Cel. y WhatsApp) - -  TWITTER: @LEVITFER",VENTA URG DPTO 4 AMB ALMAGRO PATIO FRENTE ORT con RENTA ,POINT (-58.4303573 -34.6105616),0,1,0,0,521.2488652852238,248.8345369642575,471.2750717402442,0.4083282071559582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101.0,9.0
35,5309,apartment,Caballito,-34.621272,-58.438318,229000,93,2462.3655913978496,,2387.64,"Corredor Responsable: Martin Macagno - CUCICBA 6267Contacto: Mauro Campogrande - MLS ID # 420561028-12Impecable departamento de 4 ambientes c/ dependencia, al frente con balcón y doble Ingreso.  Situado en una inmejorable ubicación dentro del pintoresco barrio de Caballito.  La propiedad es luminosa. Tiene una superficie total de 93 Mt2 totales, y posee una dependencia de servicio con toilette (Actualmente Despensa).  Consta de amplio Living comedor (Piso de cerámico), con balcón al frente.  2 Amplios dormitorios con placards empotrados y pisos de parquet.  3er dormitorio con espacioso vestidor y piso de parquet.  Baño Completo con Bañera y piso de cerámica. (Cañería a Nuevo!).  Toilette con placard. (Cañería a Nuevo!).  Impecable cocina con modernos muebles bajo y sobre mesada (Cañería a Nuevo!).  Cómodo lavadero con pileta.  Baulera en Subsuelo.  Expensas: $ 3.800  Te Invito a Conocerlo! ",Venta Departamento 4 Amb. C/Dependencia! Caballito,POINT (-58.438318 -34.621272),0,1,0,0,279.38134928198264,226.76366097979042,405.0494601686583,0.28437141541375804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2462.0,9.0
38,5903,apartment,Caballito,-34.6183324,-58.4506085,206000,72,2861.1111111111113,,2387.64,"Departamento en venta de 3 Ambientes al frente con balcón en Caballito Norte. EDIFICIO: 15 años de antigüedad - Excelente categoría de construcción  - 4 pisos - Parrillas, quincho y Jardín de uso común - 2 Ascensores automáticos - Seguridad por la noche - Encargadp con vivienda -Expensas: $4000DEPARTAMENTO: Living Comedor con vista al frente y salida a Balcón aterrazado, pisos de porcelanato - Cocina independiente con muebles de alacena y bajo mesada de categoría - Cómodo lavadero - Dormitorio principal con placard doble y puertas corredizas, vista al frente - Dormitorio con placard - Baño en Toilette - Baño Completo - Matrícula Corredor Inmobiliario 6830 Tomo 1 Folio 254.",Fragata Sarmiento al 400 - 3 ambientes al frente c/balcón terraza,POINT (-58.4506085 -34.6183324),0,1,0,0,604.0009760757553,68.15605390402848,874.6993012748105,0.5480847058965757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2861.0,7.0
39,6091,apartment,Caballito,-34.609475,-58.430443,92000,40,2300.0,2.0,2387.64,"Corredor Responsable: Ariel Champanier - CUCICBA 4330Contacto: Laura Ricci - MLS ID # 420511035-83Excelente Oportunidad !!  Monoambiente,  divisible a 2 amb de 40m2 con amenities (solarium, jacuzzi en la  terraza, parrilla)   Monoambientes de 40 m2 desde U$S 84.000  Dos ambientes de 47m2 desde U$S97.000 Dos ambientes de 53m2 desde U$S100.000 Dos ambientes de 52 m2 desde u$S 100.000  El valor varía de acuerdo al piso en el que se encuentra localizado el departamento.  Cocheras opcionales Excelente relación calidad constructiva - precio  Oportunidad  - Valor m2 en pozo : entre USD 1.700 y USD 2.050 según la tipología Valor m2 a estrenar entre  USD 2.400 y USD 2.500  RENTABILIDAD GARANTIZADA !!  Fecha de Entrega aproximada entre marzo y mayo de 2017.  ACLARACION : Las fotos corresponden a otro emprendimiento Bahia Blanca 2100 ya terminado de la misma constructora. Los departamentos van a tener las mismas características.  TERMINACIONES Y CALIDAD CONSTRUCTIVA   PISOS Piso de porcellanato en ambientes, baños y cocinas; y piso con cerámicos Cerro Negro, San Lorenzo y/o similar en balcones. Porcellanato en los palieres y entrada del edificio.  CIELORRASOS Aplicados de yeso c/baños y armados en baños y sector cocinas.  REVOQUES Yeso en interiores de los departamentos y palieres. En el resto de las partes comunes del edificio fino a la cal. Terminación en el exterior del edificio con salpicado plástico tipo Quimtex y/o similar.  CARPINTERIAS Interiores: Marcos de chapa doblada BWG 18 y hojas de placa de madera mdf para pintar. Herrajes tipo sanatorio pesado o similar.  EXTERIORES  Marcos y hojas de aluminio anodizado color natural tipo Modena o similar. Vidrios con DVH sólo en puertas ventanas del frente. No se prevee ningun dispositivo de oscurecimiento.  HALL DE INGRESO Blindex o carpintería de chapa doblada BWG 18 y vidrio en la puerta de acceso.  PLACARES En los dormitorios tendrá placard con frente integral espejado e interior completo.  MUEBLES DE COCINA Bajo mesadas y alacenas con interiores en Melamina, puertas y laterales en haya de 18 mm con cantos enchapados en PVC o aluminio.  PINTURA / IMPERMEABILIZACIONES  Terminación de paredes con pintura al latex; marcos y barandas metálicas con sintético. Se utilizará para las impermeabilizaciones de las terrazas APR1, producto que se utiliza para impermeabilizar piscinas y cuenta con una garantía de 10 años del fabricante.   MESADAS En las cocinas se colocará mesada de granito Gris Mara o Amarello de 2,5 cm de espesor y zócalos de 6 cm con bacha simple de acero inoxidable. Espacio previsto para lavarropas bajo mesada.  COCINA Se proveerá cocina marca Longvie o similar de 4 hornallas y horno a gas y campanas de extracción de acero inoxidable marca TST o similar con conducto de salida al exterior a los 4 vientos.  ARTEFACTOS DE BAÑO Las unidades se entregan con artefactos blancos de la línea Dama Senso de ROCA o similar,bañeras de marca CAPEA y Vanitorys de 0,60 m de ancho.  GRIFERIAS Y ACCESORIOS La broncería es de la línea Arizona de FV o similar y monocomando línea Swing de FV o similar en las mesadas de cocina. Colocación de kit de 8 accesorios para baño.  Las medidas son aproximadas y surgirán de escritura y planos.  ",DPTO MONOAMBIENTE DIVISIBLE 40m2 c/COCH. OPCIONAL,POINT (-58.430443 -34.609475),0,1,0,0,641.7060278540654,209.28081265591757,372.28311822405885,0.3268822915115208,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2300.0,4.0
44,6492,apartment,Caballito,-34.6208571674,-58.4311107216,185000,76,2434.2105263157896,,2387.64,"Muy buen departamento ubicado en excelente ubicación, a una cuadra de Avenida Juan Bautista Alberdi y a dos cuadras del Parque Rivadavia.Consta de living comedor y tres dormitorios. Baño y toilette. Cocina y lavadero. Balcón a la calle. Todos los ambientes al exterior. Excelente iluminación.",Muy buen departamento en Caballito,POINT (-58.4311107216 -34.6208571674),0,1,0,0,565.4338983560059,20.264765135881518,159.4299942863632,0.2531756371233112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434.0,8.0
