lon,lat
-58.44654811874889,-34.628315729604104
-58.44886104082929,-34.6291905267277
-58.433388378517,-34.6049987442329
-58.435693377586205,-34.6040299282298
-58.4527449874605,-34.6112055346078
-58.4553204311028,-34.61404928662861
-58.4367464541909,-34.617356810475194
-58.4314961890086,-34.614570306634604
-58.4545008151511,-34.6137763527958
-58.4427891765732,-34.6145413328927
-58.433509553677595,-34.6155947334972
-58.451292137358706,-34.6243047875385
-58.451292137358706,-34.6243047875385
-58.451292137358706,-34.6243047875385
-58.4528214373411,-34.6091235895383
-58.4528214373411,-34.6091235895383
-58.4581511062935,-34.6088817007976
-58.4581511062935,-34.6088817007976
-58.4454600154576,-34.6129554306071
-58.43622521562679,-34.6128459259147
-58.43622521562679,-34.6128459259147
-58.4528845271586,-34.6192569227242
-58.4528845271586,-34.6192569227242
-58.454574695566905,-34.6175983761414
-58.433509553677595,-34.6155947334972
-58.4381883423432,-34.61041243208
-58.432857507439,-34.6085815453956
-58.4385569797431,-34.6190120427161
-58.4385569797431,-34.6190120427161
-58.4385569797431,-34.6190120427161
-58.446692652573994,-34.6087098636389
-58.4499632853162,-34.609656627424194
-58.437991933351896,-34.611070436571005
-58.433151853283704,-34.612990940924895
-58.437991933351896,-34.611070436571005
-58.436150768911105,-34.6196283865387
-58.4395868072194,-34.6149995258698
-58.4528845271586,-34.6192569227242
-58.430751918495595,-34.617081194056695
-58.4434769763657,-34.6217164339877
-58.43531394958939,-34.616235929245704
-58.4343030592571,-34.6240051373997
-58.4343030592571,-34.6240051373997
-58.4343030592571,-34.6240051373997
-58.4279354013902,-34.622561439835
-58.4279354013902,-34.622561439835
-58.4279354013902,-34.622561439835
-58.430203565431,-34.6223186034279
-58.430203565431,-34.6223186034279
-58.441248623384,-34.6267105722973
-58.441248623384,-34.6267105722973
-58.441248623384,-34.6267105722973
-58.4300295537138,-34.6209844621555
-58.435693377586205,-34.6040299282298
-58.4313406284786,-34.6158749967192
-58.4563787917081,-34.6144757348172
-58.4534564653901,-34.6093643097987
-58.4528845271586,-34.6192569227242
-58.44654811874889,-34.628315729604104
-58.4499632853162,-34.609656627424194
-58.435297018533106,-34.6180469481465
-58.428610805071706,-34.6244005021003
-58.443452101715,-34.6227536338089
-58.4385962124296,-34.605450598075
-58.4565043480345,-34.6129343700143
-58.453267934576,-34.608247901275895
-58.43515413700379,-34.6221033094834
-58.4300295537138,-34.6209844621555
-58.435297018533106,-34.6180469481465
-58.43216010799971,-34.604361582123104
-58.430203565431,-34.6223186034279
-58.435693377586205,-34.6040299282298
-58.435693377586205,-34.6040299282298
-58.43216010799971,-34.604361582123104
-58.4513296588655,-34.618184544372
-58.436062043498495,-34.6153785967679
-58.433306338693505,-34.6130229604698
-58.440444817906105,-34.612143513811105
-58.440444817906105,-34.612143513811105
-58.440444817906105,-34.612143513811105
-58.447093570428,-34.62683745519389
-58.440059657097905,-34.6282698521627
-58.440059657097905,-34.6282698521627
-58.4327242293178,-34.6094663263709
-58.4385569808335,-34.6190120427163
-58.450345034330205,-34.624422151040605
-58.4272397904801,-34.6269049141127
-58.445232137596705,-34.623574131477696
-58.4450319296177,-34.622324890338696
-58.428851381856795,-34.6232835558261
-58.4454239691356,-34.622476311736
-58.4505066776436,-34.6253446525401
-58.4524684809114,-34.6275263182013
-58.4451967103265,-34.623222574893695
-58.4462847869149,-34.6271789989261
-58.446692652573994,-34.6087098636389
-58.449824554915,-34.612445414667505
-58.4315186379337,-34.6138417976111
-58.442574850262204,-34.6278873519433
-58.450524238714706,-34.6265472787186
-58.431019881090094,-34.6206906853887
-58.4363560355684,-34.6252455639152
-58.4357349325703,-34.6246534106454
-58.449995952349795,-34.6286627090968
-58.448035849366995,-34.614030608709804
-58.448035849366995,-34.614030608709804
-58.4307375001073,-34.614194837697895
-58.44058097306999,-34.6066997345465
-58.4438735815734,-34.6138118733772
-58.4526663187006,-34.6129299347532
-58.4421532498026,-34.6265136509164
-58.44137864163421,-34.613489781843704
-58.4447617167389,-34.6251948674673
-58.455546502459995,-34.6158707721142
-58.439326192301905,-34.605723091919195
-58.450988876573,-34.6245961535923
-58.4463450283398,-34.6248639805557
-58.4421884470586,-34.6194971611271
-58.4428760561286,-34.6198160204146
-58.447081607681106,-34.6109694953864
-58.441771917699796,-34.6072181818209
-58.437946148733594,-34.6232924453337
-58.4572747873034,-34.604912639303
-58.443692965229395,-34.6155780996826
-58.4332761539472,-34.6240848453871
-58.4447493781392,-34.623993727446
-58.4380157074742,-34.614399818551895
-58.4394152184314,-34.6252690196925
-58.435297018533106,-34.6180469481465
-58.449914637837296,-34.6167059770692
-58.439198431504096,-34.6105255462887
-58.436437379719294,-34.6105244955118
-58.4296335746246,-34.6187792168186
-58.440059657097905,-34.6282698521627
-58.4307375001073,-34.614194837697895
-58.4410560813311,-34.6183635107994
-58.4528214373411,-34.6091235895383
-58.448404999846204,-34.6150077684425
-58.4272397904801,-34.6269049141127
-58.433151853283704,-34.612990940924895
-58.4363560355686,-34.6252455630138
-58.4312308954216,-34.606288141712106
-58.436858143216895,-34.6158080800226
-58.4456009965205,-34.617868186111195
-58.4457123221291,-34.6263215203991
-58.4300295537138,-34.6209844621555
-58.430159316970396,-34.622660319287
-58.44525766889979,-34.6273768466298
